,Code,Name,Northing,Easting,Population,No. pubs,Life expectancy (female),Life expectancy (male),Median income
35,E06000036,Bracknell Forest,168792.0,488169.0,"124,165",35,85.42,81.74,"29,393"
36,E06000037,West Berkshire,172095.0,450575.0,"158,465",95,85.17,81.87,"29,176"
37,E06000038,Reading,173154.0,470226.0,"160,337",75,82.99,79.41,"28,041"
38,E06000039,Slough,179246.0,498920.0,"149,577",25,82.71,79.14,"28,086"
39,E06000040,Windsor and Maidenhead,176541.0,492079.0,"151,273",100,85.0,81.69,x
40,E06000041,Wokingham,169902.0,476624.0,"173,945",65,85.84,82.35,"29,771"
41,E06000042,Milton Keynes,242308.0,486408.0,"270,203",110,83.35,79.51,"28,728"
42,E06000043,Brighton and Hove,106850.0,530279.0,"291,738",260,83.17,79.1,"25,791"
43,E06000044,Portsmouth,101352.0,465619.0,"214,692",150,81.93,78.39,"23,237"
44,E06000045,Southampton,113700.0,442303.0,"252,872",110,82.51,78.49,"24,313"
45,E06000046,Isle of Wight,85949.0,447183.0,"142,296",120,83.46,79.68,"21,104"
46,E06000047,County Durham,532242.0,410381.0,"533,149",330,81.76,78.33,"24,000"
47,E06000049,Cheshire East,363462.0,380510.0,"386,667",325,84.09,80.29,"25,697"
48,E06000050,Cheshire West and Chester,363145.0,353097.0,"343,823",265,83.32,80.07,"25,444"
49,E06000051,Shropshire,302960.0,350227.0,"325,415",340,83.57,80.58,"23,707"
50,E06000052,Cornwall,64493.0,212497.0,"573,299",540,83.59,79.7,"20,338"
51,E06000053,Isles of Scilly,11447.0,91327.0,"2,226",5,,,
52,E06000054,Wiltshire,158863.0,405209.0,"504,070",390,84.79,80.96,"23,069"
53,E06000055,Bedford,256463.0,505721.0,"174,687",90,83.54,79.51,"25,640"
54,E06000056,Central Bedfordshire,234492.0,504615.0,"294,096",155,84.56,81.06,"30,012"
55,E06000057,Northumberland,600699.0,395322.0,"323,820",260,82.82,79.48,"22,046"
56,E07000004,,,,,125,,,
57,E07000005,,,,,55,,,
58,E07000006,,,,,55,,,
59,E07000007,,,,,105,,,
60,E07000008,Cambridge,257901.0,545420.0,"125,063",90,84.26,80.88,"28,525"
61,E07000009,East Cambridgeshire,275765.0,555576.0,"90,172",50,85.13,81.11,x
62,E07000010,Fenland,294959.0,536361.0,"102,080",60,82.14,78.72,"22,511"
63,E07000011,Huntingdonshire,274269.0,521008.0,"178,985",110,84.37,81.42,"27,771"
64,E07000012,South Cambridgeshire,247586.0,543295.0,"160,904",105,85.8,82.94,"32,852"
65,E07000026,Allerdale,532997.0,317520.0,"97,831",90,82.3,79.59,"24,040"
66,E07000027,Barrow-in-Furness,474165.0,321741.0,"66,726",50,81.45,77.68,"27,452"
67,E07000028,Carlisle,565154.0,348576.0,"108,524",85,82.85,78.35,"20,969"
68,E07000029,Copeland,508739.0,310871.0,"68,041",65,81.69,78.78,"26,171"
69,E07000030,Eden,526396.0,359636.0,"53,754",75,85.44,82.34,"20,925"
70,E07000031,South Lakeland,489555.0,349265.0,"104,905",140,85.27,81.52,"24,451"
71,E07000032,Amber Valley,348084.0,436166.0,"128,829",120,83.17,80.13,"23,000"
72,E07000033,Bolsover,371548.0,448666.0,"81,305",50,81.92,77.87,"21,035"
73,E07000034,Chesterfield,373359.0,440049.0,"104,930",80,81.79,78.24,"21,920"
74,E07000035,Derbyshire Dales,358493.0,419697.0,"72,422",130,85.27,81.43,"25,407"
75,E07000036,Erewash,338063.0,443721.0,"115,332",85,83.38,79.5,"22,992"
76,E07000037,High Peak,387660.0,410474.0,"92,633",105,83.14,79.95,"23,044"
77,E07000038,North East Derbyshire,362955.0,437369.0,"102,216",80,82.66,79.72,"23,448"
